sample_index,shape,init_Mach,init_altitude_m,init_T_inf_K,init_rho_kg_m3,init_mu_Pa_s,init_velocity_m_s,cone_half_angle_deg,nose_radius_m,cone_slant_length_m,base_radius_m,x_sensor_m,T_wall_K,Tw_over_Tinf_init,mass_kg,A_ref_m2,roughness_m,transition_detected,transition_altitude_m,transition_Mach,N_at_transition,Re_x_at_transition,mu_star_at_transition,Re_crit_low_used,Re_crit_high_used
6565,cone,6.7976623284154485,45776.870521401885,216.65,0.002215033640545214,1.4215474148823518e-05,2005.8007031562722,12.443458054646939,0.019364829671557296,45.05448255908224,9.941701566473647,5.134447966694873,746.8466990115285,3.4472499377407266,1688.3936408878992,310.5069441033832,0.000559262650701275,True,39325.09682375464,6.7976623284154485,7.807561363742915,1518113.5716701164,3.776930451078499e-05,1436408.1482110713,2872816.2964221425
6566,cone,10.420090482549407,55196.777359070664,216.65,0.0005766998226865624,1.4215474148823518e-05,3074.6782948428045,14.209440851617266,0.047606582551201766,13.490685453214658,3.416033562617135,4.411052259808565,331.0330359443245,1.527962316844332,844.9791551781177,36.66014097403473,0.0009744191925030803,True,40008.402381071355,10.420090482549407,7.7432764954129585,1516594.0688731882,4.515860897186811e-05,1455269.3434267326,2910538.686853465
6567,cone,10.455593711508918,63162.952721858805,216.65,0.00018480419170417936,1.4215474148823518e-05,3085.1543082384133,9.737028190489085,0.015248452410159995,10.107433092573853,1.7344188453535188,7.269209327815956,816.0632454506183,3.7667354971180167,1639.7146861046997,9.450566450143201,0.00031662081689106834,False,,,,,,,
6568,cone,8.985202199316717,99790.15047975387,216.65,9.86926232723045e-07,1.4215474148823518e-05,2651.2827526094325,13.238688782827955,0.008709775991948387,10.108024432398636,2.3780177624093417,4.093328707553095,701.4004457335002,3.2374818635287337,256.55491139465613,17.765607427816988,0.0004961465317813534,False,,,,,,,
6569,cone,11.138016251929264,61484.02412815695,216.65,0.0002348962161731428,1.4215474148823518e-05,3286.5181808896004,11.0809596320408,0.0059573896171528804,17.883803657195337,3.5024913329369576,1.2534762573061582,936.1764529081387,4.32114679394479,548.4571802657535,38.53931677828988,0.0005394442633456149,False,,,,,,,
6570,cone,4.8776696646849205,98795.44287274909,216.65,1.1376231224372792e-06,1.4215474148823518e-05,1439.2643780335616,14.064542316585499,0.017553848380386018,26.367676948868606,6.60575810646569,2.0373159280071733,458.7101092696337,2.117286449432881,613.9123906014397,137.08666320197773,0.00040651920870388034,True,34478.94650592585,4.8776696646849205,8.593255406071417,1174243.2237643595,2.778227466270344e-05,1103592.9541271,2207185.908498861
6571,cone,5.574464104450053,49847.3119832759,216.65,0.0012383451769024056,1.4215474148823518e-05,1644.868997638442,13.947483604934025,0.024281520268798415,11.482000517325652,2.851608358250171,8.229883263764576,317.8906931897715,1.4673006840054075,521.7045640388815,25.5463954523456,0.000616218476139504,True,44829.12621314745,5.574464104450053,8.781762095889167,1254170.580187992,2.737465945100479e-05,1242607.9284479572,2485215.8560448424
6572,cone,9.474560388499746,53385.6587153236,216.65,0.0007469909933612558,1.4215474148823518e-05,2795.67871588868,9.623381885240377,0.035094599528704536,20.909873838225074,3.545418281753979,5.765378862954676,939.4711636078027,4.336354320829923,1129.366562851884,39.48979072970885,5.956710794383049e-05,False,,,,,,,
6573,cone,8.800209244409103,98368.5794397121,216.65,1.2091547912773324e-06,1.4215474148823518e-05,2596.696487345629,5.410018201415135,0.03162934621445908,43.24972627795325,4.095932763404549,0.621373003457407,1048.7888453640412,4.840936281394144,202.83554953483002,52.70544815137804,0.0007667777036826623,False,,,,,,,
6574,cone,8.83056436972729,57587.28248084165,216.65,0.00040986226387032336,1.4215474148823518e-05,2605.6534388336577,13.55951258324143,0.030800414290845145,39.595605503928745,9.549572783679414,4.769314520991731,711.1723383204915,3.2825863758157925,1263.8008326125903,286.49546969501097,0.0009483820883348765,False,,,,,,,
6575,cone,8.677855902628718,28850.853911329363,216.65,0.02486024556261899,1.4215474148823518e-05,2560.593426157854,10.163474546589471,0.03331417895578251,46.23114827010187,8.287873993470441,5.920677948052626,663.8151021004127,3.063997701825122,200.17897182090232,215.79240329338387,0.0007764484514823635,False,,,,,,,
6576,cone,9.850316861594832,72882.74750389521,216.65,4.609731611815817e-05,1.4215474148823518e-05,2906.5539788153296,11.405072478712416,0.01721790039322953,41.41839312112089,8.355228976159022,8.678782342483682,804.4457194938227,3.7131120216654634,852.2291760775666,219.31411581649544,0.0002636752299707786,False,,,,,,,
6577,cone,11.493631521298738,65468.54655483204,216.65,0.000132943774904998,1.4215474148823518e-05,3391.4503359295327,9.642900570422984,0.03811486693428258,45.332617120369136,7.702356795353467,9.924411695047601,603.3550380256215,2.7849297854863675,1180.7584801565488,186.3790688821804,5.8860154120365655e-05,True,44817.39428585817,11.493631521298738,7.746343777013493,1639146.9174709544,5.21651630605582e-05,1485663.6128397635,2971327.225679527
6578,cone,8.946632727010781,72073.44005786747,216.65,5.174718730350655e-05,1.4215474148823518e-05,2639.9019762580947,5.527584052707873,0.012580141724128493,23.28154354983494,2.253070607397727,7.927706970645468,970.702300655,4.480509119109162,1159.1958701704382,15.947752119104821,0.00017469301496591164,False,,,,,,,
6579,cone,4.914686813986861,94162.01728234503,216.65,2.2052900605391943e-06,1.4215474148823518e-05,1450.1871071294595,12.058113294176241,0.03555246950518151,9.66777848327534,2.0652007137291166,2.505905454914026,700.469075623718,3.2331829015634344,432.5860323230636,13.399062275824603,0.00017151078297389426,True,34757.791614288435,4.914686813986861,7.6362441962075165,1218035.779019624,3.189741245628564e-05,1111102.1639342133,2222204.328039053
6580,cone,9.004840459156357,45870.03825999229,216.65,0.002185747584674321,1.4215474148823518e-05,2657.07745577238,8.347468312488704,0.029758990957412083,21.09387950062318,3.0951141315125,3.5669652751286054,430.82713909419573,1.9885859178130427,441.58719215792354,30.09561406319967,0.0007720954475523237,True,38173.72311569828,9.004840459156357,7.801921459851905,1516726.285326282,4.1010135472277685e-05,1482668.7095458778,2965337.4190917555
6581,cone,5.481949328597297,73334.75867792999,216.65,4.321474276546884e-05,1.4215474148823518e-05,1617.5704656589844,13.302079393372155,0.027356504382579847,2.6731605732682326,0.6320108196029042,2.550297249617891,1095.2259215580088,5.055277736247445,1272.5383184776554,1.2548704687874546,0.0006301982115544777,False,,,,,,,
6582,cone,10.746827425160133,59588.34738050815,216.65,0.0003079553322331949,1.4215474148823518e-05,3171.0892604914166,9.72234762453916,0.01983290230502996,38.14066604518421,6.534815493281519,4.088156162589118,780.9417224089495,3.604623689863603,1758.6696501663034,134.1579868699874,0.00010039954361284185,False,,,,,,,
6583,cone,8.356413464850192,43832.14255589632,216.65,0.002924389882577028,1.4215474148823518e-05,2465.744721328068,5.313240827284495,0.0422131644384085,35.66272277696973,3.3166433818790844,1.6934482945087537,413.8002146661173,1.9099940672334055,1919.1625010305272,34.55790661874356,0.0002209028591128489,True,32653.475326875778,8.356413464850192,7.551994343458668,1569045.779855468,3.8429731704181166e-05,1511598.487474115,3023196.9746610573
6584,cone,7.40299924486923,79651.86153214534,216.65,1.7526927977703924e-05,1.4215474148823518e-05,2184.418756541174,8.317793494146285,0.02517152137073732,9.297971179336335,1.359376420879263,8.848241583021409,1005.2175061054498,4.639822322203784,1035.1479898990794,5.805362427780655,0.0005516622443593982,False,,,,,,,
6585,cone,5.50663458501844,68945.58248035668,216.65,8.089943788999399e-05,1.4215474148823518e-05,1624.854396853999,14.119385195824037,0.020645699955236733,40.277846776077986,10.131584273749013,9.079707572777567,527.4408820406247,2.434529804018577,535.6762805215333,322.4813439718591,0.000750095707660057,True,44421.31488667276,5.50663458501844,7.849935809992895,1290714.0978387415,3.07282664669838e-05,1230975.2145670305,2461950.42814733
6586,cone,8.30918419391576,50393.07990600307,216.65,0.001145463212355312,1.4215474148823518e-05,2451.8086797489145,6.812529556730502,0.049371483582095956,23.910727659202585,2.8564849868802047,1.8013947921197353,850.157796358579,3.9241070683525456,961.6103821634351,25.63384561534084,0.000524420684111286,False,,,,,,,
6587,cone,9.77499521332916,53336.93609979376,216.65,0.0007522084665032243,1.4215474148823518e-05,2884.3286596166054,7.320540894460265,0.016774855716481966,21.3920049124211,2.748174410385691,9.47209355323442,1037.3705755095052,4.7882325202377345,1081.493957801813,23.726760988937624,0.00010032960080170826,False,,,,,,,
