sample_index,shape,init_Mach,init_altitude_m,init_T_inf_K,init_rho_kg_m3,init_mu_Pa_s,init_velocity_m_s,cone_half_angle_deg,nose_radius_m,cone_slant_length_m,base_radius_m,x_sensor_m,T_wall_K,Tw_over_Tinf_init,mass_kg,A_ref_m2,roughness_m,transition_detected,transition_time_s,transition_altitude_m,transition_Mach,N_at_transition,Re_x_at_transition,mu_star_at_transition,Re_crit_low_used,Re_crit_high_used
1200,cone,7.978160342107263,67254.6799147319,216.65,0.00010300364595325141,1.4215474148823518e-05,2354.132766671639,7.091290943304548,0.014941690388006197,0.980815698449826,0.12201565752332952,0.3359228853682185,1055.9639127845785,4.874054524738419,1503.597556124795,0.046771468078921935,0.0002312862233240936,False,,,,,,,,
1201,cone,5.4086551371331355,29809.585434700755,216.65,0.021678225371401207,1.4215474148823518e-05,1595.9433924574305,14.490847137010183,0.018069481831903572,20.713703131997963,5.353397734973918,3.4493761689541214,672.9481539054766,3.1061534913707667,828.5313698768476,90.03448699760578,0.0005246859027063742,False,,,,,,,,
1202,cone,4.670652525543791,37985.63965132812,216.65,0.006741622159338091,1.4215474148823518e-05,1378.1793898135788,11.396806315501621,0.022908115904725808,29.654384395399916,5.977652622337588,9.183770339179825,969.9878038899832,4.477211188045157,753.6736121259081,112.25642816732292,0.0006602076771188331,True,87.0,27609.98326376977,0.31094415207769227,7.554261960886552,834597.2282749102,2.9967206342792733e-05,834279.7656,1668559.531
1203,cone,9.204434177077594,81947.9023601283,216.65,1.2625677123828474e-05,1.4215474148823518e-05,2715.9719992801497,7.838794458621225,0.014486631544215808,43.767768928919864,6.025632213987496,5.988516725066145,295.9357376315723,1.3659623246322283,1868.1482503259617,114.06571129015967,0.0009005331122111746,True,92.0,35182.76792606112,0.7978639041945419,9.119878654906383,855843.9171541685,1.657456263321124e-05,834279.7656,1668559.531
1204,cone,10.483032921614807,88403.43833247121,216.65,5.020417927223719e-06,1.4215474148823518e-05,3093.250854413468,8.783461267506189,0.018374170714941174,32.68623279523929,5.050435440657921,1.0275671676013247,635.6332051194586,2.9339174018899543,1035.5041879191153,80.13228381328376,0.0005028002537098674,False,,,,,,,,
1205,cone,11.659989982615372,62722.03325218222,216.65,0.00019681915988143103,1.4215474148823518e-05,3440.5380814755345,14.574716350502575,0.009035325960608357,9.010831254451311,2.3429001019646574,7.985266868001011,1096.539845165423,5.061342465568535,1671.2624443222371,17.244770351294004,0.00042892498485072204,False,,,,,,,,
1206,cone,9.969791769791199,59426.16743968907,216.65,0.00031517350925613425,1.4215474148823518e-05,2941.807694474028,7.542888852510734,0.02295746101631979,37.04585900743396,4.90539402939045,4.532581271482486,776.3200935500777,3.5832914541891423,1819.0040705206748,75.59580028150829,0.0007057076261117498,True,88.0,29325.027434805354,0.7246842687069927,7.683694936496779,842361.1143961678,2.673074254114235e-05,834279.7656,1668559.531
1207,cone,11.35842677194044,85612.78439596167,216.65,7.479590397138249e-06,1.4215474148823518e-05,3351.5551825325624,14.239661167268537,0.012818087847414113,3.5504251333531203,0.9010111615023029,0.8142270774884593,818.8230794924248,3.7794741725936984,1879.4643602833883,2.5504112451065595,0.000397689445184028,False,,,,,,,,
1208,cone,11.232588169314269,64401.452005879844,216.65,0.00015483629108091278,1.4215474148823518e-05,3314.4237180029595,13.238496712739506,0.03988818131566036,49.57831331610374,11.663637890856188,2.147896040207995,581.7625906128956,2.685264669341775,1818.32999397802,427.3836746951273,0.00037155048822477203,False,,,,,,,,
1209,cone,10.62332359352014,29732.185469554614,216.65,0.02191925458924375,1.4215474148823518e-05,3134.6467218100734,9.707610628565151,0.03175963660956864,19.609687872069696,3.3546262655292423,2.4837484781693173,574.6686484619931,2.652520879122978,562.3872670084537,35.353967532384274,0.0009975347388804052,False,,,,,,,,
