Row,M_inf,theta_c_deg,beta_deg,M2,P2_P1,rho2_rho1,T2_T1,status
152,6.143200,10.251979,17.628832,4.700563,3.871552,2.454458,1.577355,1
153,10.231711,14.151405,NaN,NaN,NaN,NaN,NaN,0
154,5.235060,9.947720,18.834906,4.162905,3.165841,2.181474,1.451239,1
155,9.505073,7.336199,11.955857,7.235378,4.356694,2.620543,1.662516,1
156,11.167461,13.921791,NaN,NaN,NaN,NaN,NaN,0
157,5.430529,5.618765,14.654958,4.781434,2.035567,1.644364,1.237905,1
158,9.766507,13.198093,NaN,NaN,NaN,NaN,NaN,0
159,6.368052,14.337770,NaN,NaN,NaN,NaN,NaN,0
160,10.718583,12.601410,NaN,NaN,NaN,NaN,NaN,0
161,5.767952,11.802779,NaN,NaN,NaN,NaN,NaN,0
162,7.111892,12.042536,NaN,NaN,NaN,NaN,NaN,0
163,6.510613,8.409666,15.404417,5.198878,3.322697,2.245721,1.479568,1
164,7.912070,6.924896,12.621367,6.379847,3.320386,2.244791,1.479152,1
165,4.964808,6.947331,NaN,NaN,NaN,NaN,NaN,0
166,6.226849,8.362058,15.729780,5.019224,3.157976,2.178195,1.449813,1
167,8.430037,7.505124,12.771213,6.568992,3.884875,2.459237,1.579707,1
168,7.101117,5.459869,12.097455,6.101869,2.417256,1.841875,1.312389,1
169,5.725822,10.289268,18.281292,4.440474,3.596929,2.353000,1.528657,1
170,10.196999,6.156951,10.482402,8.016698,3.848624,2.446204,1.573305,1
171,6.219036,5.772332,13.464021,5.381973,2.279514,1.772699,1.285900,1
172,6.911793,12.859069,NaN,NaN,NaN,NaN,NaN,0
173,11.649202,14.983966,NaN,NaN,NaN,NaN,NaN,0
174,6.250459,7.374008,NaN,NaN,NaN,NaN,NaN,0
175,9.605406,11.717741,NaN,NaN,NaN,NaN,NaN,0
176,7.833841,5.440138,11.365454,6.646614,2.613820,1.936762,1.349582,1
177,9.783627,14.821858,NaN,NaN,NaN,NaN,NaN,0
178,7.687200,7.252468,13.113229,6.165150,3.381965,2.269438,1.490221,1
179,6.156361,10.891133,NaN,NaN,NaN,NaN,NaN,0
180,9.060787,14.383769,NaN,NaN,NaN,NaN,NaN,0
181,9.109561,13.817876,NaN,NaN,NaN,NaN,NaN,0
182,6.930994,14.048631,NaN,NaN,NaN,NaN,NaN,0
183,8.397261,11.072375,NaN,NaN,NaN,NaN,NaN,0
184,6.902357,7.377386,13.998300,5.625128,3.085619,2.147758,1.436669,1
185,11.057995,10.997883,NaN,NaN,NaN,NaN,NaN,0
